Name/Username    Host                 Mask             Port          Status    
1075             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1074             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1073             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1072             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1071             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1070             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1069             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1068             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1067             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1066             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1065             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1064             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1063             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1062             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1061             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1060             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1059             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1058             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1057             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1056             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1055             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1054             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1053             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1052             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1051             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1050             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1049             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1048             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1047             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1046             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1045             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1044             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1043             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1042             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1041             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1040             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1039             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1038             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1037             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1036             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1035             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1034             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1033             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1032             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1031             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1030             200.124.238.205 (D)  255.255.255.255  8652          Unmonitored
1029             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1028             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1027             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1026             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1025             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1024             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1023             200.124.238.205 (D)  255.255.255.255  8657          Unmonitored
1022             200.124.238.205 (D)  255.255.255.255  8656          Unmonitored
1021             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1020             200.124.238.205 (D)  255.255.255.255  4569          Unmonitored
1019             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1018             200.124.238.205 (D)  255.255.255.255  8646          Unmonitored
1017             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1016             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1015             200.124.238.205 (D)  255.255.255.255  8655          Unmonitored
1014             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1013             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1012             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1011             200.124.238.205 (D)  255.255.255.255  8645          Unmonitored
1010             200.124.238.205 (D)  255.255.255.255  8650          Unmonitored
1009             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1008             200.124.238.205 (D)  255.255.255.255  8647          Unmonitored
1007             200.124.238.205 (D)  255.255.255.255  8658          Unmonitored
1006             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1005             200.124.238.205 (D)  255.255.255.255  8649          Unmonitored
1004             200.124.238.205 (D)  255.255.255.255  8654          Unmonitored
1003             200.124.238.205 (D)  255.255.255.255  8644          Unmonitored
1002             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1001             200.124.238.205 (D)  255.255.255.255  8643          Unmonitored
1000             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
300              (Unspecified)   (D)  255.255.255.255  0             Unmonitored
demo/asterisk    216.207.245.47  (S)  255.255.255.255  4569          Unmonitored

945 iax2 peers [0 online, 0 offline, 945 unmonitored]
